mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__max_depth,param_tree__min_samples_split,params,split0_test_RMSE,split1_test_RMSE,split2_test_RMSE,split3_test_RMSE,split4_test_RMSE,mean_test_RMSE,std_test_RMSE,rank_test_RMSE,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy
0.7553017139434814,0.0941849622196383,0.07006897926330566,0.011600041483134132,4,0.1,"{'tree__max_depth': 4, 'tree__min_samples_split': 0.1}",-66.81071515003642,-66.10514871160277,-67.35159295899886,-66.78810375381659,-66.79982436376896,-66.77107698764472,0.39576426522553687,5,0.0281,0.0307,0.02645,0.03045,0.0299,0.02912,0.0016151160948984441,9
0.6023951530456543,0.0260039020995113,0.06591801643371582,0.012533419986916948,4,0.2,"{'tree__max_depth': 4, 'tree__min_samples_split': 0.2}",-70.40656432843745,-71.61182835812504,-70.9351392040195,-70.84552450500348,-71.66179081782292,-71.09216944268168,0.47959576587621827,10,0.0276,0.0288,0.0264,0.0293,0.02655,0.027729999999999998,0.0011651609330903603,10
0.5054643154144287,0.008810638238654939,0.06120710372924805,0.007145277967272151,4,0.3,"{'tree__max_depth': 4, 'tree__min_samples_split': 0.3}",-81.94920009380822,-82.26723997223728,-82.15558257057172,-81.65478248588781,-81.782566813882,-81.9618743872774,0.22688687941088215,11,0.02485,0.0261,0.02325,0.02555,0.026,0.02515,0.001047377677822093,11
0.4852578163146973,0.01007464173454184,0.05905923843383789,0.006904551471609251,4,0.4,"{'tree__max_depth': 4, 'tree__min_samples_split': 0.4}",-84.56146252946336,-84.81668956034451,-84.57111133852649,-84.23802688657496,-84.40533478127603,-84.51852501923706,0.19235502422929557,16,0.0253,0.0241,0.022,0.0235,0.02545,0.024069999999999998,0.001267122724916573,16
0.44715042114257814,0.042277734997615724,0.05276494026184082,0.006162330057334213,4,0.5,"{'tree__max_depth': 4, 'tree__min_samples_split': 0.5}",-87.36569479753213,-87.51960863808513,-87.31045817879041,-86.78511549180463,-87.28663176366537,-87.25350177397553,0.24784167335344517,21,0.02385,0.02405,0.02305,0.02425,0.0237,0.023780000000000003,0.00040938978980917403,21
0.8055226802825928,0.026271765990524942,0.06421699523925781,0.007329133623603503,8,0.1,"{'tree__max_depth': 8, 'tree__min_samples_split': 0.1}",-60.40443764724314,-60.0678343997709,-60.73218359500152,-60.23336067337166,-60.24277164044718,-60.33611759116688,0.22484849606433,4,0.0451,0.04765,0.04665,0.0502,0.0455,0.04701999999999999,0.001824445121125873,4
0.6190890312194824,0.03239462545447526,0.0746880054473877,0.017270261629601845,8,0.2,"{'tree__max_depth': 8, 'tree__min_samples_split': 0.2}",-69.59889022654488,-70.85142302999867,-70.12265905212219,-69.92427252969887,-70.87380315962393,-70.27420959959771,0.5087568296170866,6,0.03795,0.0385,0.0376,0.03865,0.0373,0.03799999999999999,0.000514781507049349,5
0.6003715515136718,0.0880693388194299,0.07404212951660157,0.007970413614118012,8,0.3,"{'tree__max_depth': 8, 'tree__min_samples_split': 0.3}",-81.94920009380822,-82.26723997223728,-82.15558257057172,-81.65478248588781,-81.782566813882,-81.9618743872774,0.22688687941088215,11,0.02485,0.0261,0.02325,0.02555,0.026,0.02515,0.001047377677822093,11
0.5048410892486572,0.01614913644729573,0.05970325469970703,0.0069983816970637215,8,0.4,"{'tree__max_depth': 8, 'tree__min_samples_split': 0.4}",-84.56146252946336,-84.81668956034451,-84.57111133852649,-84.23802688657496,-84.40533478127603,-84.51852501923706,0.19235502422929557,16,0.0253,0.0241,0.022,0.0235,0.02545,0.024069999999999998,0.001267122724916573,16
0.44076223373413087,0.02463911983947807,0.06450018882751465,0.005397795543232461,8,0.5,"{'tree__max_depth': 8, 'tree__min_samples_split': 0.5}",-87.36569479753213,-87.51960863808513,-87.31045817879041,-86.78511549180463,-87.28663176366537,-87.25350177397553,0.24784167335344517,21,0.02385,0.02405,0.02305,0.02425,0.0237,0.023780000000000003,0.00040938978980917403,21
